iter	Passed	Remaining
428	42492	56557
429	42587	56453
430	42720	56398
431	42851	56342
432	42972	56271
433	43092	56199
434	43178	56082
435	43306	56020
436	43404	55919
437	43538	55864
438	43656	55789
439	43782	55723
440	43914	55664
441	44022	55575
442	44166	55532
443	44290	55462
444	44394	55367
445	44489	55262
446	44566	55134
447	44673	55044
448	44791	54967
449	44931	54916
450	45038	54825
451	45114	54696
452	45228	54613
453	45322	54506
454	45460	54452
455	45572	54367
456	45706	54307
457	45839	54246
458	45987	54202
459	46133	54156
460	46214	54033
461	46348	53972
462	46482	53911
463	46609	53842
464	46764	53803
465	46946	53797
466	47092	53748
467	47214	53671
468	47321	53576
469	47451	53509
470	47588	53448
471	47700	53360
472	47835	53296
473	47960	53222
474	48147	53216
475	48295	53165
476	48417	53086
477	48569	53040
478	48659	52926
479	48781	52847
480	48950	52817
481	49118	52786
482	49243	52709
483	49389	52654
484	49525	52588
485	49646	52506
486	49809	52469
487	49947	52404
488	50075	52328
489	50218	52268
490	50354	52200
491	50475	52116
492	50617	52054
493	50743	51976
494	50850	51877
495	50966	51788
496	51101	51718
497	51236	51648
498	51349	51555
499	51495	51495
500	51657	51450
501	51775	51362
502	51849	51230
503	51948	51123
504	52060	51029
505	52203	50965
506	52303	50859
507	52411	50760
508	52537	50679
509	52630	50567
510	52737	50466
511	52880	50401
512	52994	50308
513	53142	50247
514	53253	50151
515	53345	50037
516	53494	49976
517	53615	49889
518	53746	49811
519	53853	49710
520	53979	49627
521	54106	49545
522	54184	49418
523	54321	49345
524	54470	49283
525	54586	49190
526	54734	49125
527	54844	49027
528	54966	48940
529	55107	48869
530	55241	48791
531	55320	48665
532	55427	48563
533	55532	48461
534	55647	48366
535	55787	48293
536	55933	48226
537	56093	48169
538	56212	48078
539	56326	47981
540	56421	47869
541	56530	47769
542	56646	47674
543	56762	47580
544	56885	47491
545	56976	47376
546	57113	47298
547	57264	47233
548	57374	47132
549	57514	47057
550	57657	46984
551	57807	46916
552	57944	46837
553	58042	46727
554	58142	46618
555	58262	46526
556	58391	46441
557	58503	46341
558	58616	46243
559	58738	46151
560	58880	46075
561	59021	45998
562	59137	45902
563	59246	45800
564	59335	45683
565	59430	45570
566	59555	45480
567	59634	45356
568	59770	45273
569	59884	45176
570	60024	45096
571	60160	45014
572	60313	44945
573	60433	44851
574	60569	44768
575	60720	44696
576	60878	44630
577	60966	44511
578	61127	44446
579	61271	44369
580	61461	44323
581	61569	44220
582	61678	44116
583	61817	44034
584	61909	43918
585	62044	43833
586	62163	43736
587	62290	43645
588	62378	43527
589	62507	43437
590	62611	43330
591	62766	43257
592	62904	43174
593	63062	43103
594	63213	43027
595	63339	42934
596	63426	42815
597	63556	42724
598	63673	42626
599	63795	42530
600	63938	42448
601	64055	42349
602	64153	42237
603	64255	42127
604	64339	42006
605	64486	41926
606	64609	41831
607	64751	41747
608	64858	41641
609	64944	41522
610	65053	41416
611	65186	41327
612	65329	41243
613	65453	41148
614	65591	41061
615	65733	40976
616	65884	40897
617	65989	40789
618	66125	40700
619	66255	40608
620	66379	40511
621	66517	40424
622	66618	40313
623	66760	40227
624	66895	40137
625	66975	40013
626	67113	39925
627	67244	39832
628	67361	39731
629	67475	39628
630	67571	39514
631	67692	39415
632	67809	39314
633	67902	39198
634	68014	39095
635	68140	38998
636	68240	38887
637	68355	38784
638	68488	38692
639	68606	38591
640	68725	38490
641	68844	38390
642	68989	38303
643	69116	38207
644	69225	38100
645	69349	38002
646	69477	37906
647	69607	37811
648	69744	37720
649	69861	37617
650	69992	37522
651	70107	37419
652	70237	37323
653	70343	37215
654	70477	37121
655	70600	37021
656	70702	36911
657	70808	36803
658	70892	36683
659	71011	36581
660	71150	36490
661	71266	36386
662	71371	36277
663	71498	36179
664	71620	36079
665	71741	35978
666	71844	35868
667	71991	35780
668	72118	35681
669	72239	35580
670	72364	35481
671	72484	35379
672	72602	35276
673	72732	35179
674	72866	35083
675	72992	34984
676	73131	34891
677	73227	34777
678	73342	34672
679	73449	34564
680	73600	34476
681	73687	34358
682	73837	34270
683	73939	34159
684	74056	34055
685	74160	33945
686	74269	33837
687	74419	33748
688	74538	33645
689	74666	33545
690	74786	33443
691	74928	33349
692	75046	33245
693	75152	33136
694	75285	33038
695	75390	32929
696	75493	32818
697	75598	32708
698	75718	32605
699	75852	32508
700	75976	32406
701	76088	32299
702	76202	32193
703	76339	32097
704	76507	32013
705	76615	31904
706	76751	31807
707	76903	31717
708	77033	31617
709	77174	31522
710	77290	31416
711	77438	31323
712	77554	31217
713	77681	31116
714	77801	31011
715	77924	30908
716	78015	30792
717	78146	30692
718	78270	30589
719	78378	30480
720	78502	30377
721	78623	30273
722	78730	30163
723	78836	30053
724	78945	29944
725	79050	29834
726	79167	29728
727	79300	29628
728	79373	29506
729	79488	29399
730	79596	29290
731	79760	29201
732	79850	29086
733	79966	28979
734	80101	28880
735	80229	28777
736	80321	28662
737	80426	28552
738	80527	28440
739	80633	28330
740	80743	28222
741	80836	28107
742	80927	27992
743	81068	27894
744	81171	27783
745	81254	27665
746	81370	27559
747	81507	27459
748	81658	27364
749	81804	27268
750	81975	27179
751	82095	27073
752	82230	26973
753	82348	26866
754	82458	26758
755	82558	26645
756	82664	26535
757	82792	26432
758	82897	26321
759	82992	26208
760	83137	26110
761	83281	26011
762	83417	25910
763	83564	25813
764	83721	25718
765	83851	25615
766	83969	25508
767	84104	25406
768	84199	25292
769	84336	25191
770	84422	25074
771	84522	24962
772	84601	24844
773	84730	24740
774	84826	24627
775	84974	24528
776	85076	24417
777	85188	24308
778	85284	24194
779	85386	24083
780	85518	23980
781	85644	23875
782	85733	23760
783	85859	23655
784	86020	23559
785	86123	23448
786	86200	23329
787	86276	23211
788	86399	23105
789	86543	23005
790	86645	22893
791	86757	22784
792	86889	22681
793	87062	22588
794	87159	22475
795	87314	22377
796	87413	22264
797	87561	22164
798	87686	22058
799	87798	21949
800	87946	21849
801	88064	21741
802	88188	21635
803	88331	21533
804	88469	21430
805	88583	21321
806	88713	21216
807	88826	21107
808	88971	21005
809	89107	20901
810	89199	20787
811	89326	20681
812	89425	20568
813	89581	20469
814	89708	20363
815	89827	20255
816	89917	20140
817	90051	20035
818	90188	19931
819	90323	19827
820	90425	19715
821	90559	19610
822	90706	19507
823	90819	19398
824	90905	19283
825	91026	19175
826	91153	19068
827	91264	18958
828	91382	18849
829	91509	18742
830	91644	18637
831	91798	18536
832	91915	18427
833	92038	18319
834	92176	18214
835	92316	18109
836	92406	17995
837	92523	17886
838	92659	17780
839	92773	17671
840	92883	17560
841	93001	17451
842	93132	17344
843	93265	17238
844	93389	17130
845	93502	17020
846	93641	16915
847	93721	16799
848	93838	16689
849	93960	16581
850	94092	16474
851	94215	16366
852	94328	16255
853	94437	16145
854	94552	16035
855	94651	15922
856	94738	15808
857	94837	15695
858	94969	15588
859	95084	15478
860	95195	15368
861	95346	15264
862	95447	15152
863	95550	15040
864	95672	14931
865	95811	14825
866	95905	14712
867	96035	14604
868	96151	14494
869	96258	14383
870	96365	14272
871	96458	14158
872	96566	14047
873	96694	13939
874	96800	13828
875	96948	13723
876	97096	13617
877	97217	13508
878	97313	13395
879	97432	13286
880	97558	13177
881	97652	13064
882	97754	12952
883	97901	12846
884	97999	12734
885	98140	12627
886	98266	12518
887	98362	12406
888	98508	12299
889	98653	12193
890	98805	12087
891	98909	11975
892	99045	11867
893	99128	11753
894	99247	11643
895	99349	11531
896	99457	11420
897	99594	11312
898	99699	11200
899	99791	11087
900	99900	10976
901	99983	10862
902	100090	10751
903	100215	10642
904	100356	10534
905	100468	10423
906	100575	10312
907	100679	10200
908	100817	10092
909	100921	9981
910	101040	9871
911	101126	9757
912	101223	9645
913	101321	9533
914	101418	9421
915	101573	9314
916	101727	9207
917	101859	9098
918	101998	8990
919	102138	8881
920	102293	8774
921	102414	8664
922	102496	8550
923	102582	8437
924	102699	8326
925	102828	8217
926	102983	8109
927	103099	7999
928	103218	7888
929	103334	7777
930	103433	7665
931	103528	7553
932	103643	7442
933	103787	7334
934	103916	7224
935	104064	7115
936	104167	7003
937	104284	6893
938	104390	6781
939	104477	6668
940	104603	6558
941	104710	6447
942	104845	6337
943	104954	6226
944	105034	6113
945	105176	6003
946	105260	5891
947	105369	5779
948	105463	5667
949	105563	5555
950	105680	5445
951	105812	5335
952	105914	5223
953	106014	5111
954	106132	5001
955	106247	4890
956	106394	4780
957	106495	4668
958	106615	4558
959	106779	4449
960	106912	4338
961	107041	4228
962	107176	4117
963	107310	4007
964	107454	3897
965	107558	3785
966	107710	3675
967	107857	3565
968	108013	3455
969	108124	3344
970	108227	3232
971	108349	3121
972	108459	3009
973	108592	2898
974	108693	2787
975	108813	2675
976	108928	2564
977	109026	2452
978	109105	2340
979	109223	2229
980	109386	2118
981	109501	2007
982	109588	1895
983	109706	1783
984	109819	1672
985	109911	1560
986	109995	1448
987	110140	1337
988	110302	1226
989	110427	1115
990	110566	1004
991	110746	893
992	110905	781
993	111013	670
994	111153	558
995	111256	446
996	111372	335
997	111500	223
998	111606	111
999	111742	0
