iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
34	0.1250131639	1	0.9854191981	0.9914651494	0.9212962963	0.9747530187	0.9502262443	0.9558359621	0.9008498584	0.9628378378	0.9816513761
35	0.1220820355	1	0.9854191981	0.9911063678	0.9212962963	0.9747530187	0.9491525424	0.9563387691	0.9008498584	0.9612141653	0.9816513761
36	0.1201669514	1	0.9854191981	0.9911063678	0.9212962963	0.9747530187	0.9491525424	0.9568874869	0.9008498584	0.9628378378	0.9816513761
37	0.1176929363	1	0.9854191981	0.9911063678	0.9212962963	0.9747530187	0.9491525424	0.9568874869	0.9008498584	0.9628378378	0.9816513761
38	0.1153825058	1	0.9854191981	0.9911063678	0.9212962963	0.9747530187	0.9491525424	0.9578503688	0.9008498584	0.966442953	0.9816513761
39	0.113126113	1	0.9854191981	0.9911063678	0.9216589862	0.9747530187	0.9491525424	0.9589041096	0.9002849003	0.9697986577	0.9816513761
40	0.1111645163	1	0.9854191981	0.9914590747	0.9216589862	0.9747530187	0.9503386005	0.9589041096	0.9002849003	0.9697986577	0.9816513761
41	0.1089714607	1	0.9854191981	0.9914590747	0.9216589862	0.9747530187	0.9503386005	0.9583991575	0.9002849003	0.9680672269	0.9816513761
42	0.10712998	1	0.9854191981	0.9911063678	0.9216589862	0.9747530187	0.9491525424	0.9583991575	0.9002849003	0.9680672269	0.9816513761
43	0.1069770822	1	0.9854191981	0.9911063678	0.9216589862	0.9747530187	0.9491525424	0.9583991575	0.9002849003	0.9680672269	0.9816513761
44	0.1052346409	1	0.9857099422	0.9914590747	0.9216589862	0.9747530187	0.9503386005	0.9583991575	0.9039548023	0.9680672269	0.9816513761
45	0.1032556456	1	0.9857099422	0.9914590747	0.9216589862	0.9747530187	0.9503386005	0.9583991575	0.9039548023	0.9680672269	0.9816513761
46	0.1013797868	1	0.9857099422	0.9914590747	0.9339407745	0.9747530187	0.9503386005	0.9589041096	0.9169054441	0.9697986577	0.9816513761
47	0.1006613183	1	0.9857099422	0.9911000356	0.9339407745	0.9747530187	0.9492671928	0.9589041096	0.9169054441	0.9697986577	0.9816513761
48	0.100591919	1	0.9857099422	0.9911000356	0.9339407745	0.9747530187	0.9492671928	0.9589041096	0.9169054441	0.9697986577	0.9816513761
49	0.09904236988	1	0.9857099422	0.9911000356	0.9339407745	0.9747530187	0.9492671928	0.9583991575	0.9169054441	0.9680672269	0.9816513761
50	0.09772482662	1	0.9860182371	0.9921596579	0.9363636364	0.9747530187	0.9528089888	0.9594095941	0.9195402299	0.9697986577	0.9816513761
51	0.09631716875	1	0.9863263446	0.9911000356	0.9363636364	0.9747530187	0.9492671928	0.9599156118	0.9195402299	0.9697986577	0.9816513761
52	0.09622734536	1	0.9863263446	0.9911000356	0.9363636364	0.9747530187	0.9492671928	0.9599156118	0.9195402299	0.9697986577	0.9816513761
53	0.09617824161	1	0.9863263446	0.9911000356	0.9339407745	0.9747530187	0.9492671928	0.9599156118	0.9169054441	0.9697986577	0.9816513761
54	0.09516396745	1	0.9863263446	0.9914529915	0.9339407745	0.9747530187	0.9504504505	0.9599156118	0.9169054441	0.9697986577	0.9816513761
55	0.09381746198	1	0.9866342649	0.9921652422	0.9363636364	0.9747530187	0.9515219842	0.9609704641	0.9195402299	0.9697986577	0.9816513761
56	0.09231202936	1	0.9866342649	0.9918061988	0.9363636364	0.9747530187	0.9504504505	0.9609704641	0.9195402299	0.9697986577	0.9816513761
57	0.09110065645	1	0.9866342649	0.9914529915	0.9363636364	0.9747530187	0.9504504505	0.9604221636	0.9195402299	0.9697986577	0.9816513761
58	0.08997168175	1	0.9866342649	0.9918120328	0.9363636364	0.9747530187	0.9515219842	0.9604221636	0.9195402299	0.9697986577	0.9816513761
59	0.08889074293	1	0.9866342649	0.9918120328	0.9342403628	0.9747530187	0.9515219842	0.9615181866	0.916426513	0.9730639731	0.9816513761
60	0.08887599598	1	0.9866342649	0.9918120328	0.9363636364	0.9747530187	0.9515219842	0.9615181866	0.9195402299	0.9730639731	0.9816513761
61	0.08744607387	1	0.9869419982	0.9925187032	0.9342403628	0.9747530187	0.9515219842	0.9625724829	0.916426513	0.974789916	0.9816513761
62	0.08639290603	1	0.9872495446	0.9921596579	0.9366515837	0.9747530187	0.9504504505	0.9630801688	0.9190751445	0.974789916	0.9816513761
63	0.08551257395	1	0.9872495446	0.9928673324	0.9366515837	0.9747530187	0.9528089888	0.9630801688	0.9190751445	0.974789916	0.9816513761
64	0.08426011147	1	0.9875569044	0.9928673324	0.9485458613	0.9747530187	0.9528089888	0.9635883905	0.9325513196	0.974789916	0.9816513761
65	0.08344926567	1	0.9875569044	0.9932215483	0.9438202247	0.9747530187	0.9528089888	0.9635883905	0.9271137026	0.9765100671	0.9816513761
66	0.08234821499	1	0.9875569044	0.993930739	0.9438202247	0.9747530187	0.9551569507	0.9635883905	0.9271137026	0.9765100671	0.9816513761
67	0.0810922961	1	0.9884778654	0.9935714286	0.9438202247	0.9747530187	0.9573033708	0.9640971489	0.9302325581	0.9765100671	0.9816513761
68	0.08021978084	1	0.9887844801	0.993930739	0.9438202247	0.9747530187	0.9594594595	0.9646064448	0.9333333333	0.9765100671	0.9816513761
69	0.08020920082	1	0.9887844801	0.993930739	0.9438202247	0.9747530187	0.9594594595	0.9646064448	0.9333333333	0.9765100671	0.9816513761
70	0.07932470347	1	0.9887844801	0.9935714286	0.9438202247	0.9747530187	0.9583802025	0.9646064448	0.9333333333	0.9765100671	0.9816513761
71	0.07926258025	1	0.9887844801	0.9935714286	0.9438202247	0.9747530187	0.9583802025	0.9646064448	0.9333333333	0.9765100671	0.9816513761
72	0.07925643574	1	0.9887844801	0.9935714286	0.9438202247	0.9747530187	0.9583802025	0.9646064448	0.9333333333	0.9765100671	0.9816513761
73	0.0785591393	1	0.9887844801	0.993930739	0.9438202247	0.9747530187	0.9594594595	0.9646064448	0.9333333333	0.9765100671	0.9816513761
74	0.07785793461	1	0.9887844801	0.9939264023	0.9438202247	0.9747530187	0.9595505618	0.9651531151	0.9333333333	0.9781512605	0.9816513761
75	0.07706286025	1	0.9890909091	0.9939264023	0.9435665914	0.9747530187	0.9606299213	0.9651531151	0.9337175793	0.9781512605	0.9816513761
76	0.07657325645	1	0.9890909091	0.9942857143	0.9414414414	0.9747530187	0.9617117117	0.9651531151	0.9306358382	0.9781512605	0.9816513761
77	0.07629565664	1	0.9890909091	0.9939264023	0.9414414414	0.9747530187	0.9606299213	0.9651531151	0.9306358382	0.9781512605	0.9816513761
78	0.07525358269	1	0.9890909091	0.9939264023	0.9438202247	0.9747530187	0.9617117117	0.9651531151	0.936416185	0.9781512605	0.9816513761
79	0.07481062616	1	0.9890909091	0.9942857143	0.9438202247	0.9747530187	0.9627959414	0.9651531151	0.936416185	0.9781512605	0.9816513761
80	0.07432847281	1	0.9890909091	0.9942857143	0.9438202247	0.9747530187	0.9627959414	0.9651531151	0.936416185	0.9781512605	0.9816513761
81	0.07375149561	1	0.9897032102	0.9942857143	0.9438202247	0.9747530187	0.9649717514	0.9651531151	0.936416185	0.9781512605	0.9816513761
82	0.07355915978	1	0.9897032102	0.9942857143	0.9438202247	0.9747530187	0.9649717514	0.9651531151	0.936416185	0.9781512605	0.9816513761
83	0.07324471885	1	0.9897032102	0.9942857143	0.9438202247	0.9747530187	0.9649717514	0.9651531151	0.936416185	0.9781512605	0.9816513761
84	0.07307087639	1	0.9897032102	0.9942857143	0.9438202247	0.9747530187	0.9649717514	0.9651531151	0.936416185	0.9781512605	0.9816513761
